먹을,test
청소,掃除する
체육,体育
체조,体操
체험,体験
쳐다보다,見上げる、見つめる、眺める
초기,初期
초대,招待
초등학생,小学生
초록색,緑色
초밥,すし
초콜릿,チョコレート
최,最
최고,最高
최근,最近
최대,最大
최소,最少、最低
최신,最新
최악,最悪
최저,最低
최종,最終
최초,最初
최후,最後
추가,追加
추다,踊る、舞う
추억,思い出
추측,推測
축제,祭、祝祭
출격,出撃
출근,出勤
출산,出産
출생,出生
출석,出席
출연,出演
출연료,出演料
출입,出入り
출장,出張
출퇴근,出退勤
춤,踊り
충격,衝撃
충고,忠告
충분,十分だ
충분히,十分に
충전,充電する
취소되다,取り消しされる
취직,就職する
취,酔う
측,側
치료되다,治療される
치약,歯磨き粉
치즈,チーズ
친절,親切
친척,親戚
친,親しい
칠판,黒板
칠,塗る
침,つば
침대,ベッド
칫솔,歯ブラシ
카드,カード
카레,カレー
카세트,カセット
커다랗다,非常に大きい
커지다,大きくなる
컬레,～足
컵,コップ
케이크,ケーキ
코미디언,コメディアン
코스,コース
코피,鼻血
콩,豆、大豆
쿠키,クッキー
크기,大きさ、サイズ
큰딸,長女
큰비,大雨
큰소리,大きな声、大声
큰아들,長男
큰아버지,伯父、おじ
큰어머니,伯父の妻、伯母
큰일,大ごと、重大なこと、大事
키우다,大きくする、育てる
탁구,卓球
탐방,探訪
탓,～のため、～のせい
태권도,テコンドー
태도,態度
태양,太陽
태어나다,生まれる
태우다,焼く、燃やす
태풍,台風
탤런트,タレント
터지다,突然起こる、裂ける、ドッと出る
턱,あご
털,毛、ひげ、ウール
테니스,テニス
테마,テーマ
테스트,テスト
테이블,テーブル
테이프,テープ
토끼,ウサギ
토론,討論
토지,土地、地面
톤,トン
통근,通勤
통역,通訳する
통일,統一
통화,通話
퇴근,退勤、退社
퇴원,退院
특기,特技
특별,特別
특별히,特別に
특성,特性
특징,特徴
특히,特に
튼튼,丈夫だ、頑丈だ
틀,枠、格式、形式
틀림없다,間違いない、決まってる、確かだ
틀림없이,間違いなく
틈,隙、暇
티셔츠,Ｔシャツ
팀,チーム
파다,掘る、彫る、掘り下げる、えぐる
파도,波
파랗다,青い
파마,パーマする
파일,ファイル
파티,パーティー
판단,判断
판매되다,販売する
판매자,販売者
판매,販売する
팔리다,売れる
팝송,ポップス
팬티,パンティー
퍼지다,広がる、行き渡る
편,仲間、組、チーム、～方、～側
편리,便利だ
펼치다,広げる
평가,評価
평균,平均
평일,平日
평화,平和
폐,肺
포기,放棄
포도,ブドウ
포스터,ポスター
포인트,ポイント
포장,包装
포장지,包装紙
포함,包含、含む
폭,幅、範囲
표정,表情
표지판,表示板
표현,表現する
푸르다,青い
푹,ぶすりと、じっくりと
풀리다,解ける、ほぐれる、解ける、和らぐ
풍부,豊富だ、豊かだ
프라이팬,フライパン
프로,プロ
프로필,プロフィール
프루다,青い、溌溂としている、熟してない
프린터,プリンター
피곤,疲れている、くたびれている
피부,皮膚、肌
피시,パソコン
피아노,ピアノ
피,避ける
피해,被害
필요성,必要性
필요,必要だ
하나같이,一様に
하늘색,空色、水色
하루종일,一日中
하루하루,一日一日
하숙,下宿
하얗다,とても白い、真っ白だ
하차,下車
학급,学級
학기,学期
학년,学年、～年生
학력,学歴
학비,学費
학습되다,学習される
학자,学者
한국인,韓国人
한꺼번에,一度に、一緒に
한낮,真昼
한눈,脇目
한동안,一時、しばらく
한둘,一つか二つ
한때,ひと時、ある時
한류,韓流
한마디,一言
한반도,朝鮮半島
한번도,一度も
한복,韓服
한순간,一瞬
한숨,一息、一休み、溜息
한식,韓国料理、朝鮮料理
한참,しばらく、はるかに
한창,とても、さかんに
한편,一方
함부로,むやみに、やたらに
합격,合格
합격자,合格者
합격,合格する
합치다,合わせる
항공권,航空券
항공기,航空機
항공료,航空料
항구,港
항상,いつも
해가 짧다,日が短い
해결,解決
해결책,解決策
해내다,やりとげる
해마다,毎年
해보다,やってみる
해산,解散
해소,解消
해수욕,海水浴
해열제,解熱剤
햇빛,日光、日差し
행동,行動
행사,行事、イベント
행인,通行人
향,向かう
허락,許す
헌책,古本
헤어지다,別かれる、離れる
혀,舌、べろ
현금,現金
현대,現代
현대식,現代式
현대적,現代的
현상,現像
현실,現実
현실적,現実的
현재,現在
혈액,血液
협력,協力
형식,形式
형용사,形容詞
호기심,好奇心
호랑이,とら
호주머니,ポケット
호칭,呼称
호평,好評
혹은,あるいは
혼나다,怒られる、ひどい目にあう
혼내다,叱る、こらしめる
혼자말,独り言
화가,画家
화면,画面
화장,化粧
확실하게,確実に
확실,確実だ
확인,確認
확장,拡張する
환경,環境
환영,歓迎する
환자,患者
환전,両替
활동,活動する
활용,活用する
회비,会費
회원,会員
회의장,会議場
회장,会長
효과,効果、効き目
효과가 있다,効果がある
후기,後記
후반,後半
후배,後輩
후보,候補
후춧가루,コショウ
훌륭,立派だ、すばらしい
훨씬,ずっと、はるかに
휴식,休息
휴일,休日
흐름,流れ
흐림,曇り
흔들다,振る、揺らす
흔들리다,揺れる、そよぐ、ぐらつく
흔,ありふれている
흔히,よく、多く
흘리다,流す、こぼす、紛失する
흙,土
흥미,興味
흥분,興奮
희망,希望
힘껏,力の限り、精一杯
